,mean_ic,ic_std,ic_ir,hit_rate,n_days
atr_14,0.03187454347409373,0.23764254231564894,0.13412810334168337,0.5618336886993603,938.0
rsi_14,-0.02786313497829444,0.19058992723764032,-0.14619416346989214,0.4509594882729211,938.0
xs_zscore_rsi_14,-0.02786313497829444,0.19058992723764032,-0.14619416346989214,0.4509594882729211,938.0
xs_rank_rsi_14,-0.02786313497829444,0.19058992723764032,-0.14619416346989214,0.4509594882729211,938.0
ret_21d,-0.02758157507691256,0.1912133778814694,-0.14424500724007924,0.4520255863539446,938.0
ema_12_26_ratio,-0.0274550685228953,0.19054246096206687,-0.14408897830054293,0.4594882729211087,938.0
realized_vol_10,0.027367186546384988,0.19702293165288304,0.13890355968614237,0.5618336886993603,938.0
macd,-0.026901406954629257,0.16904459964692795,-0.1591379257948282,0.4594882729211087,938.0
sma_50_ratio,-0.0263052030177897,0.19284296793980862,-0.13640737486471505,0.44989339019189767,938.0
bb_pct,-0.0257571709675641,0.17923006766770821,-0.1437101001117613,0.4594882729211087,938.0
price_zscore_20,-0.0257571709675641,0.17923006766770821,-0.1437101001117613,0.4594882729211087,938.0
macd_hist,-0.023921886428845223,0.16115445390415373,-0.14844074022969736,0.46588486140724944,938.0
xs_zscore_realized_vol_20,0.023563156758602113,0.20852781714070232,0.1129976666024518,0.5415778251599147,938.0
realized_vol_20,0.023563156758602113,0.20852781714070232,0.1129976666024518,0.5415778251599147,938.0
xs_rank_realized_vol_20,0.023563156758602113,0.20852781714070232,0.1129976666024518,0.5415778251599147,938.0
price_zscore_50,-0.022817953898507853,0.18291809677794937,-0.1247441029643303,0.47654584221748403,938.0
ret_10d,-0.022482223266691546,0.1905183089704678,-0.11800557850939414,0.4680170575692964,938.0
macd_signal,-0.022320701333302998,0.16866162029730275,-0.1323401334219244,0.4573560767590618,938.0
sma_20_ratio,-0.02098293403886747,0.1898074352569652,-0.1105485357328618,0.46588486140724944,938.0
intraday_range,0.02032840680650421,0.18245967336855157,0.11141314916991395,0.5447761194029851,938.0
sma_10_ratio,-0.019606041741436223,0.1891464279456723,-0.10365536348943148,0.4594882729211087,938.0
obv_zscore_20,-0.018282584097720423,0.16504593816123675,-0.11077269941572142,0.47121535181236673,938.0
xs_zscore_ret_5d,-0.012851359268831342,0.18965237702035753,-0.06776271128651269,0.4680170575692964,938.0
ret_5d,-0.012851359268831342,0.18965237702035753,-0.06776271128651269,0.4680170575692964,938.0
xs_rank_ret_5d,-0.012851359268831342,0.18965237702035753,-0.06776271128651269,0.4680170575692964,938.0
bb_width,0.010769155274425556,0.17725478337914435,0.060755230798993747,0.523454157782516,938.0
close_position,-0.009608959734633412,0.1572221360951005,-0.06111709186307675,0.4722814498933902,938.0
ret_1d,-0.0040889716543320645,0.1951636818531988,-0.020951498841919623,0.4978678038379531,938.0
log_ret_1d,-0.0040889716543320645,0.1951636818531988,-0.020951498841919623,0.4978678038379531,938.0
volume_ratio_20,0.003853198796779232,0.1245070805386382,0.030947627878749204,0.5277185501066098,938.0
overnight_gap,0.0036232363739019807,0.18666663549470833,0.01941019810154929,0.5191897654584222,938.0
volume_ratio_10,3.938453036195802e-05,0.12749658208797743,0.00030890655825409666,0.5010660980810234,938.0
